ciclo,codigo_seccion,nombre,descripcion
2022-II,2022-II-4B,KAHIAN,"KAHIAN, es una aplicación de psicología, que quiere difundir los medios de detección del bullying y comunicar con los especialistas encargados. Desarrollar un aplicación que facilite la detección de bullying que pueda sufrir el usuario por medio de la voz."
2021-I,2021-I-4B,AEvents,"AEvents va orientada a que una persona pueda realizar reservas principalmente para eventos (matrimonios, bautizos, quinceañeros, etc.) y contenga otras pequeñas funcionalidades. Lo vemos como un proyecto viable ya que en el mercado no existen muchas aplicaciones en este ámbito, aunque son necesarias. Creemos que nuestro público objetivo son los organizadores de dichos eventos, aunque los clientes pueden ver su calendario de eventos en esta. Habrán 2 tipos de usuario y cada uno será creado respecto a las necesidades que tenga."
2026-I,2026-I-5B,Nexora,"Nexora es una plataforma de inteligencia artificial que transforma los datos de tu negocio en videos publicitarios con avatar hablante, imágenes promocionales y contenido listo para publicar en redes sociales, sin necesidad de agencias ni equipos de producción."
2025-II,2025-II-5B,EcoCoins,"Implementar una plataforma de reciclaje gamificada en instituciones educativas, que incentive a la comunidad a separar y entregar residuos en puntos de acopio mediante un sistema de recompensas digitales."
2025-I,2025-I-5B,KaiMaki,"KaiMaki es una plataforma digital innovadora que conecta a trabajadores y clientes para la contratación de servicios profesionales en diversas áreas. Lo que hace único a KaiMaki es la integración de inteligencia artificial (IA), la cual optimiza tanto la experiencia del usuario como la eficiencia del proceso de contratación."
2024-II,2024-II-5B,EasyTrack,Nuestra aplicación facilita el envío de paquetes con un enfoque en seguridad y simplicidad. Ofrecemos un sistema confiable que protege tus envíos y una interfaz intuitiva que hace que gestionar y rastrear paquetes sea rápido y fácil.
2024-I,2024-I-5B,Zandia,Zandia es un aplicacion web diseñada para jovenes que quieran vestirse con ropa fresca Aquí encontrarás ropa de marcas urbanas que te harán sentir cómodo
2023-I,2023-I-5B,LinderLibrary.com,"Una aplicacion web para la administracion de venta de libros, gestion de inventario, gestion de usuarios."
2022-II,2022-II-5B,Clínica los Andes,"Es una aplicacion web tanto como movil, que nos permititra realizar una reserva de citas por medio de internet para evitar las excesivas colas que se hacen de manera presencial, ademas este programa incluira un sistema de pago en linea, para que el paciente pueda ingresar directamente a su consulta con el doctor seleccionado de su preferencia"
2025-II,2025-II-6B,Checkauto,"Se basa en un sistema que ayuda a las personas a tomar mejores decisiones al momento de comprar un auto de segunda mano. La idea es que, en lugar de solo confiar en lo que dice el vendedor, el usuario pueda escanear la placa del vehículo y, de manera automática, el sistema muestre todo el historial del carro."
2025-I,2025-I-6B,DONACTIVA,"El Sistema de Donacion de Sangre y Plasma es una plataforma integral orientada a mejorar la gestion y disponibilidad. Su principal objetivo es conectar de forma eficiente a donantes voluntarios, bancos de sangre y centros de salud, utilizando herramientas tecnologicas modernas que permiten automatizar y agilizar los procesos de donacion."
2024-I,2024-I-6B,ReservaTec,"ReservaTec es una aplicación web y móvil diseñada para la comunidad de Tecsup, que permitirá a los usuarios gestionar y realizar reservas de los campos deportivos disponibles en el campus. Los estudiantes, profesores y personal administrativo podrán consultar la disponibilidad de los campos, reservarlos para actividades deportivas y recibir confirmaciones de reserva."
2023-I,2023-I-6B,Descub,"Una aplicación movil que revela información adicional (nombre, significado, paleta de colores, material, información del artista, etc) detrás de una pintura o figura mediante el escaneo con QR que incluirá ciertos desafios para obtener insignias que fomentaran el interés del usuario con las obras de arte en Lima Metropolitana. En el medio web, se podrá ver los registros de cada escaneo, agregar comentarios a los artistas e interactuar mediante un mapa."
2022-II,2022-II-6B,Meteo PE,"Es una aplicación de clima en tiempo real en el Perú, que quiere mostrar a todos los peruanos como está actualmente el ambiente y clima fuera de su casa, dependiendo de la zona en donde estás residiendo."
2024-II,2024-II-7B,LearnAI,LearnAI es una aplicativo multiplataforma encargada en la creación y enseñanza evaluada de material educativo generado por IA.
2023-II,2023-II-7B,TalkTec,"TalkTec es una plataforma de redes sociales diseñada para fomentar la comunicación, la discusión y el intercambio de ideas entre sus usuarios. Es un espacio digital donde las personas pueden conectar, compartir sus pensamientos y opiniones, así como participar en conversaciones significativas en una amplia variedad de temas relacionadas a sus carreras de la institución tecsup."
2022-II,2022-II-7B,PAE,Un aplicativo móvil que permita la comunicación de entre alumnos y padres con autoridades del centro educativo para la deteccion  del bulling. Tomando como idea una red social por cada colegio  en la  cual podra el alumno expresar sus opiniones o informar ante cualquier acto inadecuado.
2025-II,2025-II-1C,Learning cave,"Una aplicación que apoye a los profesores en entorno a sus temas de exposición , los quizz y las evaluaciones con la ayuda de la AI  y también un apoyo a los alumnos mediante ejemplos o quizz tipo practica que se puede dar en las evaluaciones los temas se pueden transformar en temas visuales y auditivas  todo con la ayuda de la AI"
2024-II,2024-II-1C,MarketMap,"MarketMap es un aplicativo móvil enfocado a la compra y venta de productos de segunda mano ubicados a tu alrededor, que permite un chat entre consumidores y vendedores para la coordinación de los precios y fechas de entrega."
2022-II,2022-II-1C,BSA,"Un aplicativo móvil que permite que los estudiantes puedan obtener pruebas de un suceso de bullying, mediante el uso de un ""Botón de ayuda"". Este botón se pone en funcionamiento con tan solo agitar el celular y, permite activar  el GPS y la grabación de video del teléfono con el fin de obtener las pruebas para realizar la respectiva denuncia."
2026-I,2026-I-2C,Neurotutor,"El proyecto propone el desarrollo de un sistema educativo inteligente llamado “Tutor Inteligente Adaptativo”, que utiliza inteligencia artificial para personalizar el aprendizaje. La plataforma permitirá a los estudiantes acceder a contenidos, resolver evaluaciones y recibir recomendaciones según su desempeño. El sistema analizará sus respuestas para identificar su nivel y sugerir temas de refuerzo. Además, brindará retroalimentación inmediata y generará preguntas automáticamente, mejorando así la experiencia de aprendizaje."
2025-II,2025-II-2C,StudyBoost,StudyBoost es una plataforma educativa gamificada que utiliza inteligencia artificial para mejorar el rendimiento académico estudiantil. La aplicación combina un sistema de puntos y rachas otorgados por profesores con análisis estadístico del progreso académico y generación automática de horarios de estudio personalizados.
2022-II,2022-II-2C,AH-Friendly,"Una aplicacion web que se enfoque en monitorear a los estudiantes de secundaria de manera  anonima y segura, con el fin de mantener la seguridad de los reportes de la persona en anonimato."
2026-I,2026-I-3C,EduMatch AI,"Plataforma tecnológica integral que permite la personalización del aprendizaje mediante el uso de inteligencia artificial, capaz de analizar el perfil académico del usuario, generar rutas de aprendizaje adaptativas, asignar tutores de manera automática y ejecutar intervenciones autónomas, todo ello implementado bajo una arquitectura distribuida que integra aplicaciones web, móviles y servicios de backend desacoplados."
2024-II,2024-II-3C,UniLink,"UniLink es una aplicación diseñada para ayudar a los estudiantes universitarios, especialmente aquellos que no son muy sociables, a encontrar compañeros para realizar actividades en grupo, como tareas, proyectos grupales y otras actividades académicas. La aplicación permite a los usuarios crear perfiles personalizables, destacar sus habilidades, y calificar a otros usuarios después de colaborar en proyectos."
2023-II,2023-II-3C,ClimaTec,"ClimaTec es un software que busca informar a las personas acerca de los fenómenos naturales y sepan de qué forma afectan a las personas, así como también en qué zonas afecta y cuales las temperatura en dichas zonas."
2022-II,2022-II-3C,Friendship,"Friendship, es un prototipo con detector de voz, con el fin de reducir el bullying en el Perú ."
2026-I,2026-I-4C,ESTILO IA,"Estilo ia es una aplicación web que soluciona el problema de el desperdicio de prendas, mediante un sistema inteligente que permite a los usuarios descubrir, combinar e intercambiar outfits. Utiliza inteligencia artificial para analizar los gustos del usuario y dar  recomendaciones personalizadas, mejorando su estilo y promoviendo una moda más sostenible."
2025-II,2025-II-4C,PaTec,"Aplicación dirigida a estudiantes que incluye secciones como eventos estudiantiles y salud. En la sección médica, se brindan opciones para consultar sobre algún malestar o reportar un incidente de salud y solicitar ayuda. Finalmente, la sección de eventos muestra las actividades estudiantiles actuales y próximas durante el ciclo."
2024-II,2024-II-4C,ShopSmart,"ShopSmart es una plataforma impulsada por IA que optimiza la gestión de compras del hogar, ofreciendo recomendaciones personalizadas, alertas de inventario y comparación de precios, ayudando a los usuarios a ahorrar tiempo y dinero de manera eficiente."
2022-II,2022-II-4C,Happy user,"Happy user es un aplicativo de seguimiento estudiantil, que busca garantizar la integridad y el desarrollo adecuado de los escolares manteniendo un control de su entorno para así poder evitar el maltrato físico y verbal dentro de sus centros de estudio."
2025-II,2025-II-5C,TexIA,"TexIA es una plataforma de gestión textil que centraliza la producción, control de inventarios y órdenes de trabajo, incorporando un sistema de control de calidad y un módulo de diseño asistido por IA para optimizar procesos y mejorar la eficiencia en talleres textiles."
2024-II,2024-II-5C,Adoptify,Plataforma digital para la adopción de perros y gatos
2022-II,2022-II-5C,"VCS 
anxiety reduction time control","VCS anxiety reduction time control, consiste en una aplicación web que determine el nivel de ansiedad y stress de estudiantes de educación superior y brindarles un cronograma de actividades  para disminuir  la ansiedad y stress según el nivel que presentan."
2025-II,2025-II-6C,EduPlaner,"EduPlanner es una plataforma que permite a los estudiantes organizar su tiempo de estudio con calendarios, tareas y recordatorios  que va a estar acompañado con una IA, mientras que tutores y administradores pueden gestionar planes académicos y monitorear el progreso, todo integrado en una app web y móvil conectadas."
2025-II,2025-II-1D,TecnoMarket,"TecnoMarket es una aplicación integral para la gestión y venta de celulares. Los clientes pueden visualizar promociones, recibir notificaciones de descuentos y comparar modelos antes de comprar. El sistema también brinda soporte al administrador para controlar inventario, emitir comprobantes de venta y generar estadísticas de los productos más vendidos."
2024-II,2024-II-1D,MOTORMARKET,"MotorMarket es una plataforma virtual que optimiza la gestión de compras y ventas de automóviles nuevos y usados, organizando inventarios y facilitando transacciones para mejorar la experiencia del cliente en el mercado automotriz."
2025-II,2025-II-2D,Cronos Digital,"Cronos Digital es una plataforma educativa interactiva para la enseñanza de la historia. Integra simulación de conversaciones con figuras históricas . Su objetivo es convertir el aprendizaje en una experiencia dinámica y accesible, fomentando la participación, la investigación y la creatividad en estudiantes y público en general."
2024-II,2024-II-2D,T&C Week Event,Una plataforma para la organización y gestión de los eventos que tiene la T&C WEEK en Tecsup
2025-II,2025-II-3D,AgroYanapay,"Agro-Yanapay es una solución tecnológica integral que conecta a productores rurales, asociaciones y compradores mediante aplicaciones móviles y web, diseñadas para funcionar incluso en zonas con conectividad limitada. Su arquitectura está pensada para productores y administradores"
2024-II,2024-II-3D,OrientaTec,"Desarrollaremos una herramienta orientada a jóvenes que les muestre las oportunidades y accesibilidades que ofrece Tecsup, incluyendo un test para identificar sus áreas de interés y un pre-simulacro actualizado para prepararse para el examen de ingreso."
2025-II,2025-II-4D,SUMAQ,"Es un Sistema de ventas (ERP) inteligente y modular para restaurantes, que integre en una sola plataforma la gestión de inventarios, pedidos, ventas, reservas y control financiero.
El sistema estará disponible en web y móvil, será escalable y seguro, y contará con funcionalidades de inteligencia artificial para optimizar el consumo de insumos, predecir la demanda de platos y recomendar mejoras operativas."
2024-II,2024-II-4D,ParkMyMovil,"Una aplicación enfocada en automatizar la entrada y salida de vehiculos en centros comerciales. Controlando el tiempo, calculando el precio y efectuando el cobro automático al usuario."
2025-II,2025-II-5D,E-salud,"E-salud es la app que transforma tu experiencia con Essalud: consulta especialidades, agenda tus citas, verifica doctores en tiempo real y recibe recomendaciones con IA para encontrar la atención médica adecuada"
2024-II,2024-II-5D,T&CShop,Una plataforma de venta de productos para la recaudacion de fondos de la semana del TCWeek
2025-II,2025-II-1E,YachayTec,"Plataforma educativa con inteligencia artificial que guía a los estudiantes en el descubrimiento de su vocación y elección de carrera, ofreciendo orientación personalizada y motivadora para impulsar su desarrollo académico y profesional desde temprano."
2024-II,2024-II-1E,MOTORMARKET,"MotorMarket es una plataforma virtual que optimiza la gestión de compras y ventas de automóviles nuevos y usados, organizando inventarios y facilitando transacciones para mejorar la experiencia del cliente en el mercado automotriz."
2025-II,2025-II-2E,LinkUp,"La plataforma se trata de un sistema digital que permite a profesionales y estudiantes descubrir, registrarse y participar en eventos de networking relevantes a sus intereses y carreras. Facilita la conexión entre usuarios mediante la administración eficiente de eventos, ofrece recomendaciones inteligentes personalizadas basadas en perfiles y actividades, y proporciona herramientas tanto para participantes como para organizadores que optimizan la gestión y seguimiento de las actividades de networking."
2024-II,2024-II-2E,T&C Week Event,Una plataforma para la organización y gestión de los eventos que tiene la T&C WEEK en Tecsup
2025-II,2025-II-3E,EduQuestIA,"EduQuestIA es una plataforma educativa que combina mecánicas de juego con inteligencia artificial para transformar el aprendizaje en una experiencia de aventura y exploración. A través de misiones dinámicas y personalizadas, los estudiantes desarrollan habilidades de forma motivadora y progresiva, mientras la IA analiza su desempeño y adapta los retos a su nivel. Al mismo tiempo, brinda a los docentes herramientas inteligentes para acompañar, evaluar y reforzar el aprendizaje de manera más eficiente."
2024-II,2024-II-3E,OrientaTec,"Desarrollaremos una herramienta orientada a jóvenes que les muestre las oportunidades y accesibilidades que ofrece Tecsup, incluyendo un test para identificar sus áreas de interés y un pre-simulacro actualizado para prepararse para el examen de ingreso."
2025-II,2025-II-4E,ProSync,"ProSync es una plataforma colaborativa que ayuda a las empresas a organizar proyectos y sincronizar equipos en un solo lugar. Con tableros visuales y tareas dinámicas, permite asignar responsables, establecer plazos y dar seguimiento al progreso en tiempo real. Su objetivo es simplificar la gestión del trabajo y garantizar que cada proyecto avance de forma ordenada, productiva y sin perder comunicación entre los miembros del equipo."
2024-II,2024-II-4E,ParkMyMovil,"Una aplicación enfocada en automatizar la entrada y salida de vehiculos en centros comerciales. Controlando el tiempo, calculando el precio y efectuando el cobro automático al usuario."
2025-II,2025-II-5E,MawiStore,"El proyecto consiste en el desarrollo de una plataforma de comercio electrónico para el supermercado Mowi, que permitirá vender productos en línea mediante una interfaz adaptable a computadoras y dispositivos móviles. Contará con un panel de administración para gestionar el catálogo, precios e inventario, e incorporará una funcionalidad de inteligencia artificial que mejorará el buscador de productos, permitiendo realizar consultas en lenguaje natural y ofreciendo resultados más precisos y relevantes para los usuarios."
2024-II,2024-II-5E,T&CShop,Una plataforma de venta de productos para la recaudacion de fondos de la semana del TCWeek
